# msoftdrop closure: fatbjet_msoftdrop in <channel>/OS_Iso/baseline_boosted, threshold 30
# input: /eos/user/d/daebi/HH_bbWW/v2605a_msoftdrop/Hists_merged
# eras: Run3_2022, Run3_2022EE, Run3_2023, Run3_2023BPix

# ============ Cut efficiency [%] per era ============
# efficiency = N(msd>30) / nTotalEvents in baseline_boosted

## channel e
| Process     | Run3_2022 | Run3_2022EE | Run3_2023 | Run3_2023BPix | All eras |
| TT          | 4578.7       | 4522.9  | 55.76  | 1.22 +- 0.04     | 0        |
| DY          | 42858.8      | 42797.7 | 61.11  | 0.14 +- 0.01     | 0        |
| ST          | 422.8        | 414.8   | 7.95   | 1.88 +- 0.13     | 0        |
| VV          | 976.3        | 967.7   | 8.66   | 0.89 +- 0.04     | 0        |
| W           | 60.9         | 60.9    | 0.00   | 0.00 +- 0.00     | 0        |
| SingleHiggs | 93.2         | 88.6    | 4.62   | 4.95 +- 0.78     | 0        |
| Data_Full   | 42235.0      | 42106.0 | 129.00 | 0.31 +- 0.03     | 0        |
| Total MC    | 48990.6      | 48852.6 | 138.09 | 0.28 +- 0.02     | 0        |
| Data/MC eff |              |         |        | 1.0836 +- 0.1178 |          |

## Run3_2023 - channel eMu
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
| TT          | 11582.5      | 11435.9 | 146.61 | 1.27 +- 0.02     | 0        |
| DY          | 867.1        | 865.2   | 1.89   | 0.22 +- 0.08     | 0        |
| ST          | 1053.3       | 1034.9  | 18.45  | 1.75 +- 0.08     | 0        |
| VV          | 647.0        | 646.4   | 0.62   | 0.10 +- 0.02     | 0        |
| W           | 141.9        | 143.6   | -1.79  | -1.26 +- 0.00    | 0        |
| SingleHiggs | 183.4        | 180.1   | 3.31   | 1.81 +- 0.39     | 0        |
| Data_Full   | 13375.0      | 13227.0 | 148.00 | 1.11 +- 0.09     | 0        |
| Total MC    | 14475.2      | 14306.1 | 169.09 | 1.17 +- 0.03     | 0        |
| Data/MC eff |              |         |        | 0.9473 +- 0.0808 |          |

## Run3_2023 - channel muMu
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
| TT          | 7539.6       | 7441.2  | 98.39  | 1.30 +- 0.03     | 0        |
| DY          | 67607.3      | 67525.6 | 81.64  | 0.12 +- 0.01     | 0        |
| ST          | 680.5        | 669.2   | 11.28  | 1.66 +- 0.09     | 0        |
| VV          | 1685.0       | 1670.8  | 14.18  | 0.84 +- 0.03     | 0        |
| W           | 28.4         | 28.4    | 0.00   | 0.00 +- 0.00     | 0        |
| SingleHiggs | 163.4        | 155.5   | 7.89   | 4.83 +- 0.58     | 0        |
| Data_Full   | 70505.0      | 70227.0 | 278.00 | 0.39 +- 0.02     | 0        |
| Total MC    | 77704.1      | 77490.7 | 213.39 | 0.27 +- 0.02     | 0        |
| Data/MC eff |              |         |        | 1.4358 +- 0.1213 |          |

## Run3_2023BPix - channel e
| Process     | nTotalEvents | msd<30   | msd>30   | eff [%]          | 0<msd<30 |
|-------------|--------------|----------|----------|------------------|----------|
| TT          | 91577.0      | 79210.3  | 12366.78 | 13.50 +- 0.03    | 0        |
| DY          | 19765.3      | 19638.1  | 127.22   | 0.64 +- 0.07     | 0        |
| ST          | 12110.6      | 11249.0  | 861.67   | 7.11 +- 0.14     | 0        |
| VV          | 4760.3       | 4703.9   | 56.42    | 1.19 +- 0.03     | 0        |
| W           | 249487.6     | 249037.6 | 449.94   | 0.18 +- 0.02     | 0        |
| SingleHiggs | 426.4        | 384.3    | 42.11    | 9.88 +- 0.60     | 0        |
| Data_Full   | 414703.0     | 401988.0 | 12715.00 | 3.07 +- 0.03     | 0        |
| Total MC    | 378127.2     | 364223.1 | 13904.14 | 3.68 +- 0.05     | 0        |
| Data/MC eff |              |          |          | 0.8338 +- 0.0136 |          |

## Run3_2023BPix - channel mu
| Process     | nTotalEvents | msd<30   | msd>30   | eff [%]          | 0<msd<30 |
|-------------|--------------|----------|----------|------------------|----------|
| TT          | 122343.0     | 111594.6 | 10748.38 | 8.79 +- 0.02     | 0        |
| DY          | 24023.3      | 23835.9  | 187.42   | 0.78 +- 0.07     | 0        |
| ST          | 17010.3      | 16229.2  | 781.05   | 4.59 +- 0.10     | 0        |
| VV          | 6083.8       | 6012.5   | 71.33    | 1.17 +- 0.02     | 0        |
| W           | 317849.3     | 317324.7 | 524.55   | 0.17 +- 0.01     | 0        |
| SingleHiggs | 562.3        | 517.3    | 44.99    | 8.00 +- 0.48     | 0        |
| Data_Full   | 482875.0     | 470407.0 | 12468.00 | 2.58 +- 0.02     | 0        |
| Total MC    | 487872.0     | 475514.2 | 12357.73 | 2.53 +- 0.04     | 0        |
| Data/MC eff |              |          |          | 1.0194 +- 0.0174 |          |

## Run3_2023BPix - channel eE
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
| TT          | 2390.9       | 2362.5  | 28.41  | 1.19 +- 0.05     | 0        |
| DY          | 21472.3      | 21441.7 | 30.51  | 0.14 +- 0.02     | 0        |
| ST          | 219.8        | 216.1   | 3.67   | 1.67 +- 0.18     | 0        |
| VV          | 510.5        | 506.2   | 4.33   | 0.85 +- 0.06     | 0        |
| W           | 47.3         | 47.3    | 0.00   | 0.00 +- 0.00     | 0        |
| SingleHiggs | 52.3         | 49.9    | 2.38   | 4.56 +- 1.12     | 0        |
| Data_Full   | 22575.0      | 22517.0 | 58.00  | 0.26 +- 0.03     | 0        |
| Total MC    | 24693.0      | 24623.7 | 69.30  | 0.28 +- 0.03     | 0        |
| Data/MC eff |              |         |        | 0.9154 +- 0.1464 |          |

## Run3_2023BPix - channel eMu
| Process     | nTotalEvents | msd<30 | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|--------|--------|------------------|----------|
| TT          | 6173.4       | 6093.9 | 79.49  | 1.29 +- 0.03     | 0        |
| DY          | 425.2        | 425.1  | 0.09   | 0.02 +- 0.04     | 0        |
| ST          | 561.3        | 551.7  | 9.59   | 1.71 +- 0.10     | 0        |
| VV          | 338.0        | 337.6  | 0.32   | 0.09 +- 0.03     | 0        |
| W           | 80.4         | 80.4   | 0.00   | 0.00 +- 0.00     | 0        |
| SingleHiggs | 98.6         | 96.5   | 2.05   | 2.08 +- 0.56     | 0        |
| Data_Full   | 7384.0       | 7302.0 | 82.00  | 1.11 +- 0.12     | 0        |
| Total MC    | 7676.9       | 7585.4 | 91.54  | 1.19 +- 0.04     | 0        |
| Data/MC eff |              |        |        | 0.9313 +- 0.1070 |          |

## Run3_2023BPix - channel muMu
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
| TT          | 4013.4       | 3962.0  | 51.37  | 1.28 +- 0.04     | 0        |
